Date,Mean Squared Error,Root Mean Squared Error
2011-06-18 07:30:00,0.27171277655958614,0.5212607567806982
2011-06-18 08:00:00,0.17540949135667866,0.4188191630724156
2011-06-18 08:30:00,0.1100142536099165,0.3316839664649416
2011-06-18 09:00:00,1.4246005160201485,1.1935663014764402
2011-06-18 09:30:00,1.0410913735682892,1.0203388523271517
2011-06-18 10:00:00,0.02150017227712506,0.14662937044509555
2011-06-18 10:30:00,0.021018896672856474,0.14497895251675835
2011-06-18 11:00:00,2.461577933297863,1.5689416602595085
2011-06-18 11:30:00,1.9920470231938134,1.411398959611992
2011-06-18 12:00:00,0.12721119182444648,0.3566667798161843
2011-06-18 12:30:00,0.2901527070569317,0.5386582469961188
2011-06-18 13:00:00,0.013901370938775387,0.11790407515762713
2011-06-18 13:30:00,0.10062233231694559,0.3172102336258173
2011-06-18 14:00:00,0.05320306338906836,0.23065789253582536
2011-06-18 14:30:00,0.14514199211626821,0.38097505445405244
2011-06-18 15:00:00,0.021368749867125048,0.14618053860594798
2011-06-18 15:30:00,0.03418933906177474,0.1849035939666256
2011-06-18 16:00:00,0.05225859762019822,0.22860139461560208
2011-06-18 16:30:00,0.01071469019066095,0.1035117876894267
2011-06-18 17:00:00,0.002096359966465951,0.04578602370228224
2011-06-18 17:30:00,0.5360941922169057,0.7321845342650346
2011-06-18 18:00:00,0.3621733886643375,0.601808431865438
2011-06-18 18:30:00,0.17334692716414193,0.4163495252358791
2011-06-18 19:00:00,0.008670586443712967,0.09311598382508218
2011-06-18 19:30:00,0.21706322118645724,0.4659004412816726
2011-06-18 20:00:00,0.7369667762008592,0.8584676908310872
2011-06-18 20:30:00,0.04299231834698666,0.20734589059585112
2011-06-18 21:00:00,0.01299508560764203,0.11399598943665532
2011-06-18 21:30:00,3.031408038060429,1.7410939199424105
2011-06-18 22:00:00,0.05399315804831202,0.23236427877002097
2011-06-18 22:30:00,2.072026764624249,1.4394536340654565
2011-06-18 23:00:00,0.46806393997846196,0.6841519860224495
2011-06-18 23:30:00,0.08050678348104136,0.2837371732449616
2011-06-19 00:00:00,0.019049369722477612,0.13801945414497774
2011-06-19 00:30:00,0.002080145440844929,0.04560861147683548
2011-06-19 01:00:00,0.007789823151726586,0.08825997480016967
2011-06-19 01:30:00,0.03529538437791033,0.18787065864022068
2011-06-19 02:00:00,0.02009834243564469,0.14176862288829883
2011-06-19 02:30:00,0.07350602986245836,0.271119954747817
2011-06-19 03:00:00,0.013728503714014562,0.1171686976714112
2011-06-19 03:30:00,0.02139251477778619,0.14626180218288776
2011-06-19 04:00:00,0.00553068667832113,0.07436858663657075
2011-06-19 04:30:00,0.017630676356442564,0.13278055714765835
2011-06-19 05:00:00,0.0016116155797199017,0.04014493217978954
2011-06-19 05:30:00,0.00023794444229331487,0.015425447879828802
2011-06-19 06:00:00,0.03290574775050085,0.18139941496736103
2011-06-19 06:30:00,0.0001128091280470795,0.010621164156865268
2011-06-19 07:00:00,0.20257597308271674,0.4500844066202658
2011-06-19 07:30:00,1.8206097959184036,1.3492997427993543
2011-06-19 08:00:00,4.82314093035114,2.1961650507990376
2011-06-19 08:30:00,2.739121038420281,1.6550290143741533
2011-06-19 09:00:00,0.7166563618922563,0.8465555870066988
2011-06-19 09:30:00,0.07569506553880691,0.2751273623956856
2011-06-19 10:00:00,0.23463401925765193,0.48439035834505617
2011-06-19 10:30:00,0.0500893493090145,0.2238064997023422
2011-06-19 11:00:00,0.004184516814711112,0.06468784132053806
2011-06-19 11:30:00,0.05079783432757885,0.22538374903168784
2011-06-19 12:00:00,0.010214716023186772,0.10106787829566213
2011-06-19 12:30:00,0.00994019402823575,0.09970052170493267
2011-06-19 13:00:00,0.11166401348334454,0.3341616577097746
2011-06-19 13:30:00,0.572942504420217,0.7569296561902017
2011-06-19 14:00:00,1.3287291139533355,1.1527051287963177
2011-06-19 14:30:00,0.5458508933320831,0.7388172259308002
2011-06-19 15:00:00,0.035985607768664093,0.1896987289590104
2011-06-19 15:30:00,0.13356723064486178,0.36546850841743095
2011-06-19 16:00:00,0.01438499800705388,0.1199374754072049
2011-06-19 16:30:00,0.05413212308108835,0.2326631107010485
2011-06-19 17:00:00,0.06414830717240408,0.2532751609858418
2011-06-19 17:30:00,0.00011302738194990921,0.010631433673306212
2011-06-19 18:00:00,0.005334893186277068,0.07304035313631135
2011-06-19 18:30:00,0.0012462003687716571,0.03530156326243439
2011-06-19 19:00:00,0.09225031261803858,0.30372736560612806
2011-06-19 19:30:00,0.011363151850834469,0.10659808558709893
2011-06-19 20:00:00,0.34477232717738404,0.5871731662613543
2011-06-19 20:30:00,0.7504162928460576,0.8662657172288752
2011-06-19 21:00:00,0.5272211680418848,0.7260999711072056
2011-06-19 21:30:00,0.48844091124986594,0.6988854779217164
2011-06-19 22:00:00,0.6817060364692639,0.8256549136711195
2011-06-19 22:30:00,0.014226572720428094,0.1192751974235553
2011-06-19 23:00:00,0.004720968244238058,0.06870930245780449
2011-06-19 23:30:00,0.004994400468924351,0.07067107236291488
2011-06-20 00:00:00,0.004704537202942139,0.0685896289751019
2011-06-20 00:30:00,0.007127406681338183,0.08442396982692879
2011-06-20 01:00:00,0.119829915990336,0.34616457934100653
2011-06-20 01:30:00,0.06595041325884962,0.25680812537544373
2011-06-20 02:00:00,0.04704860571281055,0.21690690563652082
2011-06-20 02:30:00,0.18221338120383657,0.4268645935233286
2011-06-20 03:00:00,0.03477770799763807,0.1864878226524136
2011-06-20 03:30:00,0.010388189944159399,0.10192247026126966
