Order,Seasonal order,Result
"(0, 1, 0)","(0, 2, 0, 12)",91956.3273870179
"(0, 1, 0)","(0, 2, 1, 12)",65259.98389327797
"(0, 1, 0)","(0, 2, 2, 12)",47011.95054196131
"(0, 1, 0)","(1, 0, 0, 12)",47846.62955293195
"(0, 1, 0)","(1, 0, 1, 12)",47845.19043082467
"(0, 1, 0)","(1, 0, 2, 12)",47826.972239119765
"(0, 1, 0)","(1, 1, 0, 12)",58234.57726955272
"(0, 1, 0)","(1, 1, 1, 12)",46746.839566089635
"(0, 1, 0)","(1, 1, 2, 12)",45508.46088180263
"(0, 1, 0)","(1, 2, 0, 12)",77651.07316469407
"(0, 1, 0)","(1, 2, 1, 12)",58308.59071094362
"(0, 1, 0)","(1, 2, 2, 12)",46897.60159354034
"(0, 1, 0)","(2, 0, 0, 12)",47824.08297941458
"(0, 1, 0)","(2, 0, 1, 12)",47825.682205975056
"(0, 1, 0)","(2, 0, 2, 12)",45243.7159395557
"(0, 1, 0)","(2, 1, 0, 12)",55339.13646009885
"(0, 1, 0)","(2, 1, 1, 12)",46576.04409124586
"(0, 1, 0)","(2, 1, 2, 12)",45510.46201624656
"(0, 1, 0)","(2, 2, 0, 12)",73055.4686101251
"(0, 1, 0)","(2, 2, 1, 12)",55417.262689469106
"(0, 1, 0)","(2, 2, 2, 12)",46760.71550575045
"(0, 1, 1)","(0, 0, 0, 12)",47555.24280137389
"(0, 1, 1)","(0, 0, 1, 12)",47533.51594223686
"(0, 1, 1)","(0, 0, 2, 12)",47509.85671149779
"(0, 1, 1)","(0, 1, 0, 12)",64890.88588836989
"(0, 1, 1)","(0, 1, 1, 12)",46694.12658927428
"(0, 1, 1)","(0, 1, 2, 12)",46552.50401045165
"(0, 1, 1)","(0, 2, 0, 12)",91589.37950891226
"(0, 1, 1)","(0, 2, 1, 12)",64926.60246982477
"(0, 1, 1)","(0, 2, 2, 12)",46850.34239377022
"(0, 1, 1)","(1, 0, 0, 12)",47535.89704690858
"(0, 1, 1)","(1, 0, 1, 12)",47532.85751040007
"(0, 1, 1)","(1, 0, 2, 12)",47511.81009388842
"(0, 1, 1)","(1, 1, 0, 12)",57968.68508634646
