Order,Seasonal order,Result
"(1, 2, 0)","(2, 0, 2, 12)",56007.33675064893
"(1, 2, 0)","(2, 1, 0, 12)",66174.58278077631
"(1, 2, 0)","(2, 1, 1, 12)",57800.03390154394
"(1, 2, 0)","(2, 1, 2, 12)",57788.086993647055
"(1, 2, 0)","(2, 2, 0, 12)",83706.73143456106
"(1, 2, 0)","(2, 2, 1, 12)",66247.16729163945
"(1, 2, 0)","(2, 2, 2, 12)",57989.55201209781
"(1, 2, 1)","(0, 0, 0, 12)",47635.5050853439
"(1, 2, 1)","(0, 0, 1, 12)",47613.67740307002
"(1, 2, 1)","(0, 0, 2, 12)",47588.94190670128
"(1, 2, 1)","(0, 1, 0, 12)",64965.91228706672
"(1, 2, 1)","(0, 1, 1, 12)",46756.9867789266
"(1, 2, 1)","(0, 1, 2, 12)",46609.262200073994
"(1, 2, 1)","(0, 2, 0, 12)",91652.85357223667
"(1, 2, 1)","(0, 2, 1, 12)",65013.081012885625
"(1, 2, 1)","(0, 2, 2, 12)",47169.79091037513
"(1, 2, 1)","(1, 0, 0, 12)",47615.369459615176
"(1, 2, 1)","(1, 0, 1, 12)",47615.62827917086
"(1, 2, 1)","(1, 0, 2, 12)",47591.026030870984
"(1, 2, 1)","(1, 1, 0, 12)",58054.38037771401
"(1, 2, 1)","(1, 1, 1, 12)",46658.263416620095
"(1, 2, 1)","(1, 1, 2, 12)",45495.75112715378
"(1, 2, 1)","(1, 2, 0, 12)",77476.59682533267
"(1, 2, 1)","(1, 2, 1, 12)",58140.31989834947
"(1, 2, 1)","(1, 2, 2, 12)",37295.40356944683
"(1, 2, 1)","(2, 0, 0, 12)",47585.58069387643
"(1, 2, 1)","(2, 0, 1, 12)",47587.255645922305
"(1, 2, 1)","(2, 0, 2, 12)",45177.53225602505
"(1, 2, 1)","(2, 1, 0, 12)",55119.94629394519
"(1, 2, 1)","(2, 1, 1, 12)",46495.25849837867
"(1, 2, 1)","(2, 1, 2, 12)",45523.10540448621
"(1, 2, 1)","(2, 2, 0, 12)",72705.33266655842
"(1, 2, 1)","(2, 2, 1, 12)",55210.930243204166
"(1, 2, 1)","(2, 2, 2, 12)",47653.406690298
"(1, 2, 2)","(0, 0, 0, 12)",47507.93266633108
"(1, 2, 2)","(0, 0, 1, 12)",47492.347135151336
"(1, 2, 2)","(0, 0, 2, 12)",47455.80501529899
"(1, 2, 2)","(0, 1, 0, 12)",64855.06184735481
"(1, 2, 2)","(0, 1, 1, 12)",46628.39724840765
"(1, 2, 2)","(0, 1, 2, 12)",46488.28941868864
"(1, 2, 2)","(0, 2, 0, 12)",91570.91650782048
"(1, 2, 2)","(0, 2, 1, 12)",64897.828849123965
"(1, 2, 2)","(0, 2, 2, 12)",33183.22794533272
"(1, 2, 2)","(1, 0, 0, 12)",47488.280103657955
"(1, 2, 2)","(1, 0, 1, 12)",47486.98703944747
"(1, 2, 2)","(1, 0, 2, 12)",47457.83236110147
"(1, 2, 2)","(1, 1, 0, 12)",57885.48801574929
"(1, 2, 2)","(1, 1, 1, 12)",46532.19209379854
"(1, 2, 2)","(1, 1, 2, 12)",45399.66423992274
"(1, 2, 2)","(1, 2, 0, 12)",77309.1208372209
"(1, 2, 2)","(1, 2, 1, 12)",57963.84303187362
"(1, 2, 2)","(1, 2, 2, 12)",41744.34274719683
"(1, 2, 2)","(2, 0, 0, 12)",47462.712631360984
"(1, 2, 2)","(2, 0, 1, 12)",47464.23454340625
"(1, 2, 2)","(2, 0, 2, 12)",45129.31264543582
"(1, 2, 2)","(2, 1, 0, 12)",54972.8144776918
"(1, 2, 2)","(2, 1, 1, 12)",46386.57646578334
"(1, 2, 2)","(2, 1, 2, 12)",45679.663916847014
"(1, 2, 2)","(2, 2, 0, 12)",72499.07489264023
"(1, 2, 2)","(2, 2, 1, 12)",55063.78507234132
"(1, 2, 2)","(2, 2, 2, 12)",47790.35152246229
"(2, 0, 0)","(0, 0, 0, 12)",46346.41016755716
"(2, 0, 0)","(0, 0, 1, 12)",46332.408258850024
"(2, 0, 0)","(0, 0, 2, 12)",46322.77874636829
"(2, 0, 0)","(0, 1, 0, 12)",61960.28272568007
"(2, 0, 0)","(0, 1, 1, 12)",44123.173384967195
"(2, 0, 0)","(0, 1, 2, 12)",44013.228329839294
"(2, 0, 0)","(0, 2, 0, 12)",88570.24436728685
"(2, 0, 0)","(0, 2, 1, 12)",62003.098462533126
"(2, 0, 0)","(0, 2, 2, 12)",44259.41992020824
"(2, 0, 0)","(1, 0, 0, 12)",46331.49103535487
"(2, 0, 0)","(1, 0, 1, 12)",44140.90461183069
"(2, 0, 0)","(1, 0, 2, 12)",44042.587429088606
"(2, 0, 0)","(1, 1, 0, 12)",55201.95757256359
"(2, 0, 0)","(1, 1, 1, 12)",44052.110929749346
"(2, 0, 0)","(1, 1, 2, 12)",42870.17684513508
"(2, 0, 0)","(1, 2, 0, 12)",74587.96189918047
"(2, 0, 0)","(1, 2, 1, 12)",55278.507320977136
"(2, 0, 0)","(1, 2, 2, 12)",44213.154531887994
"(2, 0, 0)","(2, 0, 0, 12)",46319.833999632225
"(2, 0, 0)","(2, 0, 1, 12)",44054.81219924163
"(2, 0, 0)","(2, 0, 2, 12)",42923.67907712544
"(2, 0, 0)","(2, 1, 0, 12)",52257.295605294064
"(2, 0, 0)","(2, 1, 1, 12)",43896.72660873647
"(2, 0, 0)","(2, 1, 2, 12)",42870.767057419034
"(2, 0, 0)","(2, 2, 0, 12)",69830.74794004859
"(2, 0, 0)","(2, 2, 1, 12)",52335.63329871474
"(2, 0, 0)","(2, 2, 2, 12)",44084.50488486048
"(2, 0, 1)","(0, 0, 0, 12)",46269.33858081591
"(2, 0, 1)","(0, 0, 1, 12)",46255.47114936123
"(2, 0, 1)","(0, 0, 2, 12)",46243.49257301111
"(2, 0, 1)","(0, 1, 0, 12)",61960.561312178404
"(2, 0, 1)","(0, 1, 1, 12)",44089.77258660838
"(2, 0, 1)","(0, 1, 2, 12)",43976.29820910466
"(2, 0, 1)","(0, 2, 0, 12)",88564.40301663752
"(2, 0, 1)","(0, 2, 1, 12)",62000.91186356029
"(2, 0, 1)","(0, 2, 2, 12)",44424.79290797691
"(2, 0, 1)","(1, 0, 0, 12)",46255.44859427585
"(2, 0, 1)","(1, 0, 1, 12)",44110.27911917186
"(2, 0, 1)","(1, 0, 2, 12)",44005.73609574841
"(2, 0, 1)","(1, 1, 0, 12)",55147.60036245842
"(2, 0, 1)","(1, 1, 1, 12)",44016.25460630645
"(2, 0, 1)","(1, 1, 2, 12)",42818.237280734495
"(2, 0, 1)","(1, 2, 0, 12)",74535.04117072486
"(2, 0, 1)","(1, 2, 1, 12)",55224.207900508234
"(2, 0, 1)","(1, 2, 2, 12)",44270.963709695236
"(2, 0, 1)","(2, 0, 0, 12)",46243.32276829024
"(2, 0, 1)","(2, 0, 1, 12)",44019.128004048944
"(2, 0, 1)","(2, 0, 2, 12)",43148.23828392599
"(2, 0, 1)","(2, 1, 0, 12)",52229.9740239558
"(2, 0, 1)","(2, 1, 1, 12)",43869.628305030856
"(2, 0, 1)","(2, 1, 2, 12)",42837.54167619551
"(2, 0, 1)","(2, 2, 0, 12)",69772.85764459684
"(2, 0, 1)","(2, 2, 1, 12)",52308.32589987671
"(2, 0, 1)","(2, 2, 2, 12)",44285.02891187575
"(2, 0, 2)","(0, 0, 0, 12)",44834.11141767056
"(2, 0, 2)","(0, 0, 1, 12)",44803.14244500935
"(2, 0, 2)","(0, 0, 2, 12)",45149.19652760133
"(2, 0, 2)","(0, 1, 0, 12)",61913.005843301784
"(2, 0, 2)","(0, 1, 1, 12)",44057.93118509055
"(2, 0, 2)","(0, 1, 2, 12)",43949.02162517495
"(2, 0, 2)","(0, 2, 0, 12)",88535.63236238026
"(2, 0, 2)","(0, 2, 1, 12)",61952.179199634484
"(2, 0, 2)","(0, 2, 2, 12)",44224.16810433187
"(2, 0, 2)","(1, 0, 0, 12)",44807.76184843515
"(2, 0, 2)","(1, 0, 1, 12)",45045.05626490262
"(2, 0, 2)","(1, 0, 2, 12)",44967.73042580914
"(2, 0, 2)","(1, 1, 0, 12)",55098.077913012545
"(2, 0, 2)","(1, 1, 1, 12)",43987.00806620454
"(2, 0, 2)","(1, 1, 2, 12)",42809.06008159074
"(2, 0, 2)","(1, 2, 0, 12)",74485.97962545347
"(2, 0, 2)","(1, 2, 1, 12)",55172.222335716026
"(2, 0, 2)","(1, 2, 2, 12)",44919.50220768189
"(2, 0, 2)","(2, 0, 0, 12)",44780.40697369163
"(2, 0, 2)","(2, 0, 1, 12)",44790.21151413911
"(2, 0, 2)","(2, 0, 2, 12)",44665.83348793718
"(2, 0, 2)","(2, 1, 0, 12)",52175.52626915417
"(2, 0, 2)","(2, 1, 1, 12)",43842.96132826735
"(2, 0, 2)","(2, 1, 2, 12)",42814.85269084794
"(2, 0, 2)","(2, 2, 0, 12)",69702.83326960797
"(2, 0, 2)","(2, 2, 1, 12)",52253.886188032906
"(2, 0, 2)","(2, 2, 2, 12)",44048.61612835885
"(2, 1, 0)","(0, 0, 0, 12)",47161.21873533645
"(2, 1, 0)","(0, 0, 1, 12)",47137.311895873725
"(2, 1, 0)","(0, 0, 2, 12)",47124.12796984001
"(2, 1, 0)","(0, 1, 0, 12)",64574.8036417629
"(2, 1, 0)","(0, 1, 1, 12)",46183.78022590843
"(2, 1, 0)","(0, 1, 2, 12)",46005.59911530855
"(2, 1, 0)","(0, 2, 0, 12)",91398.17299085816
"(2, 1, 0)","(0, 2, 1, 12)",64613.58365364327
"(2, 1, 0)","(0, 2, 2, 12)",46368.92051585347
"(2, 1, 0)","(1, 0, 0, 12)",47136.599992730684
"(2, 1, 0)","(1, 0, 1, 12)",47137.839978535914
"(2, 1, 0)","(1, 0, 2, 12)",47126.126481053856
"(2, 1, 0)","(1, 1, 0, 12)",57297.32287608994
"(2, 1, 0)","(1, 1, 1, 12)",46051.31701441733
"(2, 1, 0)","(1, 1, 2, 12)",44769.207505240745
"(2, 1, 0)","(1, 2, 0, 12)",76715.86002668268
"(2, 1, 0)","(1, 2, 1, 12)",57372.78080358516
"(2, 1, 0)","(1, 2, 2, 12)",46206.38084309231
"(2, 1, 0)","(2, 0, 0, 12)",47121.97848653513
"(2, 1, 0)","(2, 0, 1, 12)",47123.85877678956
"(2, 1, 0)","(2, 0, 2, 12)",44928.47048855649
"(2, 1, 0)","(2, 1, 0, 12)",54516.234299834905
"(2, 1, 0)","(2, 1, 1, 12)",45939.05471583802
"(2, 1, 0)","(2, 1, 2, 12)",44780.01668672818
"(2, 1, 0)","(2, 2, 0, 12)",71943.25226823315
"(2, 1, 0)","(2, 2, 1, 12)",54593.95916432046
"(2, 1, 0)","(2, 2, 2, 12)",46258.92333738931
"(2, 1, 1)","(0, 0, 0, 12)",44788.35325463085
"(2, 1, 1)","(0, 0, 1, 12)",44771.24546908255
"(2, 1, 1)","(0, 0, 2, 12)",44741.2814624158
"(2, 1, 1)","(0, 1, 0, 12)",61971.360186296195
"(2, 1, 1)","(0, 1, 1, 12)",44076.06765658181
"(2, 1, 1)","(0, 1, 2, 12)",43969.59214537031
"(2, 1, 1)","(0, 2, 0, 12)",88578.12024136799
"(2, 1, 1)","(0, 2, 1, 12)",62020.81081047564
"(2, 1, 1)","(0, 2, 2, 12)",44366.47005570898
"(2, 1, 1)","(1, 0, 0, 12)",44772.26725894721
"(2, 1, 1)","(1, 0, 1, 12)",44770.40997886962
"(2, 1, 1)","(1, 0, 2, 12)",44743.16606923835
"(2, 1, 1)","(1, 1, 0, 12)",55211.25081642226
"(2, 1, 1)","(1, 1, 1, 12)",44011.04298080133
"(2, 1, 1)","(1, 1, 2, 12)",42814.27718831859
"(2, 1, 1)","(1, 2, 0, 12)",75778.20870895893
"(2, 1, 1)","(1, 2, 1, 12)",56396.23301170289
"(2, 1, 1)","(1, 2, 2, 12)",44995.773669330294
"(2, 1, 1)","(2, 0, 0, 12)",44733.68135924345
"(2, 1, 1)","(2, 0, 1, 12)",44734.91346853481
"(2, 1, 1)","(2, 0, 2, 12)",42300.790966217
"(2, 1, 1)","(2, 1, 0, 12)",52267.776847191984
"(2, 1, 1)","(2, 1, 1, 12)",43855.336982164554
"(2, 1, 1)","(2, 1, 2, 12)",42816.41319683912
"(2, 1, 1)","(2, 2, 0, 12)",71088.41889434004
"(2, 1, 1)","(2, 2, 1, 12)",52357.968827496385
"(2, 1, 1)","(2, 2, 2, 12)",44229.6479269507
"(2, 1, 2)","(0, 0, 0, 12)",44777.79929728915
"(2, 1, 2)","(0, 0, 1, 12)",44761.14954256154
"(2, 1, 2)","(0, 0, 2, 12)",44734.108616252255
"(2, 1, 2)","(0, 1, 0, 12)",62270.68746451386
"(2, 1, 2)","(0, 1, 1, 12)",44046.96320804303
"(2, 1, 2)","(0, 1, 2, 12)",43937.31566300335
"(2, 1, 2)","(0, 2, 0, 12)",89283.55324741757
"(2, 1, 2)","(0, 2, 1, 12)",63162.47028841651
"(2, 1, 2)","(0, 2, 2, 12)",45376.215815656105
"(2, 1, 2)","(1, 0, 0, 12)",44762.865138061556
"(2, 1, 2)","(1, 0, 1, 12)",44759.99142700832
"(2, 1, 2)","(1, 0, 2, 12)",44736.01562362734
"(2, 1, 2)","(1, 1, 0, 12)",56229.800511819354
"(2, 1, 2)","(1, 1, 1, 12)",43977.516696848434
"(2, 1, 2)","(1, 1, 2, 12)",42775.47655073067
"(2, 1, 2)","(1, 2, 0, 12)",75637.35589229892
"(2, 1, 2)","(1, 2, 1, 12)",56302.77315054619
"(2, 1, 2)","(1, 2, 2, 12)",45378.25777974764
"(2, 1, 2)","(2, 0, 0, 12)",44727.892213746185
"(2, 1, 2)","(2, 0, 1, 12)",44729.20165566536
"(2, 1, 2)","(2, 0, 2, 12)",42356.05380958776
"(2, 1, 2)","(2, 1, 0, 12)",53566.29725722667
"(2, 1, 2)","(2, 1, 1, 12)",43833.57733303368
"(2, 1, 2)","(2, 1, 2, 12)",42814.65352354458
"(2, 1, 2)","(2, 2, 0, 12)",70969.87935107251
"(2, 1, 2)","(2, 2, 1, 12)",53644.3053536659
"(2, 1, 2)","(2, 2, 2, 12)",45245.47052932018
"(2, 2, 0)","(0, 0, 0, 12)",56660.53244868749
"(2, 2, 0)","(0, 0, 1, 12)",56640.902104465444
"(2, 2, 0)","(0, 0, 2, 12)",56568.54793002227
"(2, 2, 0)","(0, 1, 0, 12)",73847.45623571749
"(2, 2, 0)","(0, 1, 1, 12)",56056.530180111266
"(2, 2, 0)","(0, 1, 2, 12)",55966.496621349164
"(2, 2, 0)","(0, 2, 0, 12)",100226.09720540394
"(2, 2, 0)","(0, 2, 1, 12)",73877.89191990299
"(2, 2, 0)","(0, 2, 2, 12)",56200.84987371093
"(2, 2, 0)","(1, 0, 0, 12)",56640.078700135105
"(2, 2, 0)","(1, 0, 1, 12)",56632.735627226706
"(2, 2, 0)","(1, 0, 2, 12)",56570.32764141527
"(2, 2, 0)","(1, 1, 0, 12)",67491.12895241177
"(2, 2, 0)","(1, 1, 1, 12)",56009.01616214939
"(2, 2, 0)","(1, 1, 2, 12)",55209.08120235831
"(2, 2, 0)","(1, 2, 0, 12)",86931.00377718796
"(2, 2, 0)","(1, 2, 1, 12)",67561.46671238351
"(2, 2, 0)","(1, 2, 2, 12)",57328.56196140238
"(2, 2, 0)","(2, 0, 0, 12)",56541.90586360482
"(2, 2, 0)","(2, 0, 1, 12)",56542.933368402504
"(2, 2, 0)","(2, 0, 2, 12)",53981.96192559505
"(2, 2, 0)","(2, 1, 0, 12)",64292.24610632236
"(2, 2, 0)","(2, 1, 1, 12)",55758.51232302486
"(2, 2, 0)","(2, 1, 2, 12)",55740.62518844452
"(2, 2, 0)","(2, 2, 0, 12)",81863.62292589643
"(2, 2, 0)","(2, 2, 1, 12)",64365.16880485241
"(2, 2, 0)","(2, 2, 2, 12)",55945.16502400198
"(2, 2, 1)","(0, 0, 0, 12)",47172.390945664665
"(2, 2, 1)","(0, 0, 1, 12)",47146.489319348766
"(2, 2, 1)","(0, 0, 2, 12)",47132.405555668985
"(2, 2, 1)","(0, 1, 0, 12)",64584.21023489649
"(2, 2, 1)","(0, 1, 1, 12)",46200.94558269589
"(2, 2, 1)","(0, 1, 2, 12)",46022.18930072892
"(2, 2, 1)","(0, 2, 0, 12)",91406.27829480809
"(2, 2, 1)","(0, 2, 1, 12)",64631.5792611866
"(2, 2, 1)","(0, 2, 2, 12)",43951.34203548854
"(2, 2, 1)","(1, 0, 0, 12)",47147.57113858184
"(2, 2, 1)","(1, 0, 1, 12)",47148.489523053366
"(2, 2, 1)","(1, 0, 2, 12)",47134.398963741645
"(2, 2, 1)","(1, 1, 0, 12)",57307.129980798825
"(2, 2, 1)","(1, 1, 1, 12)",46070.91868444709
"(2, 2, 1)","(1, 1, 2, 12)",44792.832314215906
"(2, 2, 1)","(1, 2, 0, 12)",76724.88819106831
"(2, 2, 1)","(1, 2, 1, 12)",57398.010808161984
"(2, 2, 1)","(1, 2, 2, 12)",47912.85621355806
"(2, 2, 1)","(2, 0, 0, 12)",47132.389471624854
"(2, 2, 1)","(2, 0, 1, 12)",47134.339174112996
"(2, 2, 1)","(2, 0, 2, 12)",45369.432539306996
"(2, 2, 1)","(2, 1, 0, 12)",54526.12425931284
"(2, 2, 1)","(2, 1, 1, 12)",45958.29172769406
"(2, 2, 1)","(2, 1, 2, 12)",45071.1252862541
"(2, 2, 1)","(2, 2, 0, 12)",71952.19914681595
"(2, 2, 1)","(2, 2, 1, 12)",54617.15407124052
"(2, 2, 1)","(2, 2, 2, 12)",46285.97655786623
"(2, 2, 2)","(0, 0, 0, 12)",44843.15002812288
"(2, 2, 2)","(0, 0, 1, 12)",45840.29458691507
"(2, 2, 2)","(0, 0, 2, 12)",44810.41839530342
"(2, 2, 2)","(0, 1, 0, 12)",64916.02307605796
"(2, 2, 2)","(0, 1, 1, 12)",24308.936567147834
"(2, 2, 2)","(0, 1, 2, 12)",28580.629408780187
"(2, 2, 2)","(0, 2, 0, 12)",89892.84837842397
"(2, 2, 2)","(0, 2, 1, 12)",63838.91983598827
"(2, 2, 2)","(0, 2, 2, 12)",47667.571311738306
"(2, 2, 2)","(1, 0, 0, 12)",46214.95605162287
"(2, 2, 2)","(1, 0, 1, 12)",44834.222352180775
"(2, 2, 2)","(1, 0, 2, 12)",44811.856234435116
"(2, 2, 2)","(1, 1, 0, 12)",57958.469569453715
"(2, 2, 2)","(1, 1, 1, 12)",40120.737740315846
"(2, 2, 2)","(1, 1, 2, 12)",45039.11197133233
"(2, 2, 2)","(1, 2, 0, 12)",76164.01736936092
"(2, 2, 2)","(1, 2, 1, 12)",57905.804537621065
"(2, 2, 2)","(1, 2, 2, 12)",27354.3108804907
"(2, 2, 2)","(2, 0, 0, 12)",46760.45585277511
"(2, 2, 2)","(2, 0, 1, 12)",45197.560295904324
"(2, 2, 2)","(2, 0, 2, 12)",45013.5142192397
"(2, 2, 2)","(2, 1, 0, 12)",52332.07978757037
"(2, 2, 2)","(2, 1, 1, 12)",44566.06355387916
"(2, 2, 2)","(2, 1, 2, 12)",45284.05170816239
"(2, 2, 2)","(2, 2, 0, 12)",72577.7331097046
"(2, 2, 2)","(2, 2, 1, 12)",55161.12216124988
"(2, 2, 2)","(2, 2, 2, 12)",40170.477147397716
